Gene,Diseases
ASXL1,"ASXL1-related disorder; Abnormal brain morphology; Abnormal corpus callosum morphology; Atypical chronic myeloid leukemia, BCR-ABL1 negative; Autism spectrum disorder; Bohring-Opitz syndrome; Cafe-au-lait spot; Congenital cerebellar hypoplasia; Delayed gross motor development; Delayed speech and language development; Developmental delay; Feeding difficulties; Floppy infant; Glabellar hemangioma; Global developmental delay; Hereditary cancer; Hypertonia; Hypertrichosis; Inborn genetic diseases; Intellectual disability; Juvenile myelomonocytic leukemia; Microcephaly; Moderate global developmental delay; Myelodysplasia; Myelodysplastic syndrome; Neurodevelopmental abnormality; Prominent metopic ridge; Rubinstein Taybi like syndrome; See cases; Seizure; Severe intellectual disability; Small for gestational age; dystrophia"
ASXL2,ASXL2-related disorder; Abnormal cerebellum morphology; Autism spectrum disorder; Developmental disorder; Inborn genetic diseases; Intellectual disability; Neurodevelopmental disorder; See cases; Severe hydrocephalus; Shashi-Pena syndrome; Syndromic intellectual disability; Vascular disorder
ATM,"ATM-related cancer predisposition; ATM-related cancer predisposition syndrome; ATM-related disorder; Abnormal central motor function; Adenocarcinoma; Astroblastoma, MN1-altered; Astrocytoma IDH-mutant; Ataxia - telangiectasia variant; Ataxia telangiectasi; Ataxia-telangiectasia syndrome; Ataxia-telangiectasia without immunodeficiency; B-cell non-Hodgkin lymphoma; BAP1-related tumor predisposition syndrome; Bilateral breast carcinoma; Bile duct cancer; Breast and/or ovarian cancer; Breast cancer, early-onset; Breast cancer, familial male; Breast cancer, susceptibility to; Breast carcinoma; Breast neoplasm; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; C11orf65-related disorder; CUP (carcinoma unknown primary) syndrome; Cancer or benign tumor; Carcinoma of colon; Carcinoma of pancreas; Cardiac valvular dysplasia, X-linked; Cerebellar ataxia; Childhood neoplasm; Clear cell carcinoma of kidney; Colon cancer; Colonic neoplasm; Colorectal cancer; Colorectal cancer, susceptibility to, 1; Colorectal polyposis; Conjunctival telangiectasia; Diffuse hemispheric glioma, H3 G34-mutant; Diffuse midline glioma, H3 K27-altered; Endometrial carcinoma; Familial cancer of breast; Familial colorectal cancer type X; Familial ovarian cancer; Familial pancreatic carcinoma; Familial prostate cancer; Gastric cancer; Glioblastoma; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Immunodeficiency; Incidental Discovery; Inherited breast cancer and ovarian cancer; Inherited prostate cancer; Intellectual disability; Koolen-de Vries syndrome; Lung cancer; Lynch syndrome 1; Malignant glioma; Malignant neoplasm of brain; Malignant tumor of breast; Malignant tumor of pancreas; Malignant tumor of thyroid gland; Malignant tumor of urinary bladder; Mantle cell lymphoma; Microcephaly; Multifocal breast carcinoma; Multiple endocrine neoplasia, type 1; Multiple myeloma; NICE approved PARP inhibitor treatment; Neoplasm; Oculomotor apraxia; Ovarian cancer; Ovarian cancer, susceptibility to, 1; Ovarian carcinoma; Pancreatic Cancer Susceptibility 4; Pancreatic cancer, susceptibility to; Papillary renal cell carcinoma type 1; Papillary thyroid carcinoma; Prostate cancer; Prostate cancer susceptibility; See cases; Seizure; T-cell prolymphocytic leukemia; Tip-toe gait; Triple-negative breast carcinoma; Uterine corpus cancer"
ATR,ATR-X-related syndrome; ATR-related disorder; Cornelia de Lange syndrome 1; Familial cancer of breast; Familial cutaneous telangiectasia and oropharyngeal predisposition cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Malignant tumor of breast; Microcephaly; Seckel syndrome; Seckel syndrome 1; See cases
AURKA,"AURKA-related disorder; Colon cancer, susceptibility to; Colorectal cancer; Multiple myeloma"
AURKB,AURKB-related disorder; NK-cell enteropathy
AXIN1,AXIN1-related disorder; Caudal duplication; Craniometadiaphyseal osteosclerosis with hip dysplasia; EBV-positive nodal T- and NK-cell lymphoma; Hepatocellular carcinoma
AXIN2,"AXIN2-related attenuated familial adenomatous polyposis; AXIN2-related disorder; Aganglionic megacolon; Carcinoma of colon; Colorectal cancer; Colorectal carcinoma; Craniosynostosis syndrome; Ectodermal dysplasia; Hereditary cancer; Hereditary cancer-predisposing syndrome; Malignant tumor of breast; Non-syndromic oligodontia; Oligodontia; Oligodontia-cancer predisposition syndrome; Ovarian cancer; Tooth agenesis, selective, 1"
AXL,AXL-related disorder; Amenorrhea; Genetic non-acquired premature ovarian failure; Hypogonadotropic hypogonadism 7 with or without anosmia; NK-cell enteropathy
BABAM1,NA
