Gene,Diseases
CDKN2A,"Acute lymphoid leukemia; Atypical endometrial hyperplasia; CDKN2A-related disorder; Familial melanoma; Familial meningioma; Familial pancreatic carcinoma; Gastric cancer; Hepatocellular carcinoma; Hereditary cancer; Hereditary cancer-predisposing syndrome; Li-Fraumeni syndrome; Lip and oral cavity carcinoma; Maffucci syndrome; Malignant tumor of urinary bladder; Melanoma; Melanoma and neural system tumor syndrome; Melanoma, cutaneous malignant, susceptibility to, 2; Melanoma-pancreatic cancer syndrome; Osteoblastic osteosarcoma; Ovarian cancer; Ovarian neoplasm; Retinoblastoma; Squamous cell lung carcinoma"
CDKN2A-AS1,NA
CDKN2B,Acute lymphoid leukemia; Malignant tumor of breast; Multiple endocrine neoplasia; Three Vessel Coronary Disease
CDKN2B-AS1,Three Vessel Coronary Disease
CEP72,NA
CHD4,CHD4-related disorder; Cleft palate; Congenital ocular coloboma; Global developmental delay; Inborn genetic diseases; Intellectual disability; Moyamoya angiopathy with developmental delay; Neonatal encephalopathy; Neurodevelopmental abnormality; See cases; Sifrim-Hitz-Weiss syndrome; Thalidomide response
CHEK1,CHEK1-related disorder; Hereditary cancer-predisposing syndrome; Male infertility due to gonadal dysgenesis or sperm disorder; Oocyte/zygote/embryo maturation arrest 21; Prostate cancer
CIC,"Autism spectrum disorder; Autosomal dominant non-syndromic intellectual disability; CIC-related disorder; CIC-related neurodevelopmental disorders; Congenital cerebellar hypoplasia; Dias-Logan syndrome; EBV-positive nodal T- and NK-cell lymphoma; Familial thoracic aortic aneurysm and aortic dissection; Hearing impairment; Hereditary ataxia; Inborn genetic diseases; Intellectual developmental disorder with behavioral abnormalities and craniofacial dysmorphism with or without seizures; Intellectual disability; Intellectual disability, autosomal dominant 1; Intellectual disability, autosomal dominant 45; Marfanoid habitus and intellectual disability; NK-cell enteropathy; Neurodevelopmental delay; Neurodevelopmental disorder; Neurodevelopmental disorder with hypotonia, seizures, and absent language; See cases"
CNTNAP1,"Arthrogryposis multiplex congenita; Arthrogryposis, distal, type 1A; CNTNAP1-related disorder; Charcot-Marie-Tooth disease type 4E; Congenital hypomyelination neuropathy with or without arthrogryposis; EBV-positive nodal T- and NK-cell lymphoma; Fetal akinesia deformation sequence 1; Inborn genetic diseases; Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3; See cases"
COMT,"22q11.2 deletion syndrome; Bardet-Biedl syndrome; COMT POLYMORPHISM; COMT-related disorder; Cardiovascular phenotype; Glucocorticoid deficiency 5; Panic disorder 1; Primary dilated cardiomyopathy; Primary familial hypertrophic cardiomyopathy; Schizophrenia; Schizophrenia, susceptibility to; TXNRD2-related disorder; Tramadol response; methamphetamine use disorder"
CORO1B,NA
CREBBP,"Abnormal cerebral morphology; Abnormality of the nervous system; Atrial septal defect 5; CREBBP-related disorder; Cone-rod dystrophy; Congenital heart anomalies; Corpus callosum, agenesis of; Dilated cardiomyopathy 1R; Fetal anomalies with a likely genetic cause; Glaucoma; Global developmental delay; Hearing impairment; Hirschsprung disease, susceptibility to, 1; Hypertrophic cardiomyopathy 11; Inborn genetic diseases; Intellectual disability; Kabuki-like syndrome; Left ventricular noncompaction 4; Malignant lymphoma, large B-cell, diffuse; Marfanoid habitus and intellectual disability; Menke-Hennekam syndrome; Menke-Hennekam syndrome 1; Morphological central nervous system abnormality; Multiple congenital anomalies/dysmorphic syndrome; Multiple myeloma; Neurodevelopmental abnormality; Neurodevelopmental disorder; Noonan syndrome; Primary ciliary dyskinesia 3; Rare genetic intellectual disability; Rubinstein-Taybi syndrome; Rubinstein-Taybi syndrome due to CREBBP mutations; Scoliosis; See cases; Spasticity; Spinal dysraphism; Synophrys; Teratoma; Thin vermilion border; Thumb deformity; Tip-toe gait"
CSDE1,CSDE1-associated disorder; CSDE1-associated neurodevelopmental disorder; CSDE1-related disorder; CSDE1-related neurodevelopmental disorder; Complex neurodevelopmental disorder; Inborn genetic diseases; See cases
CSF1R,"Alzheimer disease; Brain abnormalities, neurodegeneration, and dysosteosclerosis; CSF1R-Related Adult-Onset Leukoencephalopathy; CSF1R-related disorder; CSF1R-related leukoencephalopathy; Cerebral arterial disease; Craniosynostosis syndrome; Frontotemporal dementia; Hereditary diffuse leukoencephalopathy with spheroids; Inborn genetic diseases; Leukoencephalopathy, diffuse hereditary, with spheroids 1; Neurodegeneration; Parkinsonian disorder; See cases"
CSF3R,Autosomal recessive severe congenital neutropenia due to CSF3R deficiency; CSF3R-Related Disorders; CSF3R-related disorder; Early T cell progenitor acute lymphoblastic leukemia; Hereditary neutrophilia; Inborn genetic diseases; Inherited Immunodeficiency Diseases; Severe congenital neutropenia
CSK,NA
CTNNA1,"CTNNA1-associated FEVR; CTNNA1-related diffuse gastric and lobular breast cancer syndrome; CTNNA1-related disorder; Colorectal cancer; Congenital fibrosis of extraocular muscles; Craniosynostosis syndrome; Hereditary breast ovarian cancer syndrome; Hereditary cancer-predisposing syndrome; Hereditary diffuse gastric adenocarcinoma; Hereditary nonpolyposis colon cancer; Patterned macular dystrophy 2; Polyposis syndrome, hereditary mixed, 1; Retinal dystrophy; Schizophrenia"
CUL3,Abnormal cardiovascular system morphology; Autism spectrum disorder; Autosomal dominant pseudohypoaldosteronism type 1; CUL3-related disorder; Complex neurodevelopmental disorder; Inborn genetic diseases; Intellectual disability; NEURODEVELOPMENTAL DISORDER WITH AUTISM AND SEIZURES; NEURODEVELOPMENTAL DISORDER WITH AUTISM WITHOUT SEIZURES; NEURODEVELOPMENTAL DISORDER WITHOUT AUTISM OR SEIZURES; NK-cell enteropathy; Neurodevelopmental abnormality; Neurodevelopmental delay; Neurodevelopmental disorder; Neurodevelopmental disorder with or without autism or seizures; Neurodevelopmental disorder without autism with seizures; Pseudohypoaldosteronism type 2A; Pseudohypoaldosteronism type 2E
CUL4A,NA
CXCR4,"CXCR4-related disorder; Inborn genetic diseases; Inherited Immunodeficiency Diseases; Thalidomide response; WHIM syndrome 1; Warts, hypogammaglobulinemia, infections, and myelokathexis"
CYLD,"Brooke-Spiegler syndrome; CYLD-related disorder; Familial cylindromatosis; Familial multiple trichoepitheliomata; Frontotemporal dementia and/or amyotrophic lateral sclerosis 8; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Multiple monogenic benign skin tumours; Multiple myeloma; Ovarian cancer; SLC35A2-congenital disorder of glycosylation; Trichoepithelioma, multiple familial, 1"
CYP19A1,"ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY; Aromatase deficiency; Aromatase excess syndrome; CYP19A1-related disorder; Differences in sex development; Inborn genetic diseases; Letrozole response; Premature ovarian failure; Pulmonary disease, chronic obstructive, susceptibility to"
CYP2B6,CYP2B6-related disorder; Efavirenz response; efavirenz response - Metabolism/PK; efavirenz response - Toxicity; nevirapine response - Metabolism/PK; nevirapine response - Toxicity
CYP2C8,"CYP2C8 POLYMORPHISM; CYP2C8-related disorder; DRUG METABOLISM, ALTERED, CYP2C8-RELATED; Pulmonary disease, chronic obstructive, susceptibility to"
CYP2D6,"CYP2D6-related condition; Congenital portosystemic shunt; Debrisoquine, poor metabolism of; Deutetrabenazine response; Tamoxifen response; Tramadol response"
CYP2E1,CYP2E1*6 ALLELE
CYP3A4,".; CYP3A4 PROMOTER POLYMORPHISM; CYP3A4-related disorder; Familial hypercholesterolemia; Vitamin D-dependent rickets, type 3; fentanyl response - Dosage; tacrolimus response - Metabolism/PK"
CYP3A5,"CYP3A5-related disorder; Essential hypertension; Hypertension, salt-sensitive essential, susceptibility to; Tacrolimus response; appendicular lean mass relative to body height; refractory myasthenia gravis"
CYP4B1,"Pulmonary disease, chronic obstructive, susceptibility to"
DAXX,NA
DCUN1D1,NA
DDN-AS1,NA
DDR1,NA
DDR2,Connective tissue disorder; DDR2-related disorder; Fetal growth restriction; Inborn genetic diseases; Lung adenocarcinoma; Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome; Squamous cell lung carcinoma; Warburg-cinotti syndrome
DHFR,Constitutional megaloblastic anemia with severe neurologic disease; DHFR-related disorder; Inborn genetic diseases
DHX8,Congenital anomaly of kidney and urinary tract; ETV4-related disorder
DINO,NA
DIS3,DIS3-related disorder; EBV-positive nodal T- and NK-cell lymphoma; Multiple Myeloma Predisposition; Multiple myeloma; Perlman syndrome
DNAJB1,NA
DNMT1,"Acanthocytosis; Ataxia; Autosomal dominant cerebellar ataxia, deafness and narcolepsy; Beckwith-Wiedemann syndrome; Cerebellar ataxia; Cerebellar atrophy; Cerebral atrophy; Charcot-Marie-Tooth disease; Chorea; DNMT1-related disorder; Dysarthria; Dysphagia; Hereditary sensory neuropathy-deafness-dementia syndrome; Inborn genetic diseases; Limb-girdle muscular dystrophy; Paroxysmal central nervous system disorders; Pituitary stalk interruption syndrome; Spastic ataxia; Spastic paraparesis"
DNMT3B,"Centromeric instability of chromosomes 1,9 and 16 and immunodeficiency; DNMT3B-related disorder; Facioscapulohumeral muscular dystrophy 4, digenic; Immunodeficiency-centromeric instability-facial anomalies syndrome 1; Inborn genetic diseases; Kabuki syndrome 1; See cases"
DOT1L,DOT1L-related condition; Developmental disorder; Inborn genetic diseases; Nil-Deshwar neurodevelopmental syndrome
DPYD,"5-fluorouracil response; DPYD-related disorder; Dihydropyrimidine dehydrogenase deficiency; Fluorouracil response; Hirschsprung disease, susceptibility to, 1; Inborn genetic diseases; Neurodevelopmental delay; Prostate cancer; See cases; capecitabine response - Toxicity; fluorouracil response - Other; fluorouracil response - Toxicity; tegafur response - Toxicity"
DROSHA,Abnormality of neuronal migration; DROSHA-related disorder; DROSHA-related neurodevelopmental disorder; Esophageal atresia; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; MicroRNA processor tumor predisposition syndrome; Pineoblastoma; Pyloric stenosis
DUSP4,NA
DYNC2H1,"Abnormality of the lung; Arrhythmogenic right ventricular dysplasia 10; Asphyxiating thoracic dystrophy 1; Asphyxiating thoracic dystrophy 2; Asphyxiating thoracic dystrophy 3; Asphyxiating thoracic dystrophy 4; Autosomal dominant Robinow syndrome 2; Autosomal recessive polycystic kidney disease; Autosomal recessive retinitis pigmentosa; Bowing of the long bones; Ciliopathy; Clinodactyly; DYNC2H1-related disorder; Deformed rib cage; Fetal growth restriction; Heart, malformation of; Hirschsprung disease, susceptibility to, 1; Inborn genetic diseases; Intellectual disability; Jeune thoracic dystrophy; Micrognathia; Narrow chest; Neonatal respiratory distress; Optic atrophy; Renal cyst; Retinal disorder; Retinal dystrophy; Retinitis pigmentosa; Short long bone; Short rib-polydactyly syndrome; Short ribs; Short-rib thoracic dysplasia 6 with or without polydactyly; Type IV short rib polydactyly syndrome"
E2F3,E2F3-related disorder
EBLN2,NA
EED,Autism spectrum disorder; Cohen-Gibson syndrome; EED-related disorder; Hereditary breast ovarian cancer syndrome; Inborn genetic diseases; Neurodevelopmental delay
EGF,Cholangiocarcinoma; EGF-related disorder; Hereditary renal cell carcinoma; Renal hypomagnesemia 4
EGFR,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in, somatic; Cerebral arteriovenous malformation; Cerebral palsy; Cholangiocarcinoma; Cowden syndrome 1; Diffuse midline glioma, H3 K27-altered; EGFR-related disorder; EGFR-related lung cancer; Endometrial carcinoma; Familial cancer of breast; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inflammatory skin and bowel disease, neonatal, 2; Lip and oral cavity carcinoma; Lung adenocarcinoma; Lung cancer; Lung carcinoma; Malignant tumor of urinary bladder; Non-small cell lung carcinoma; Nonsmall cell lung cancer, response to tyrosine kinase inhibitor in, somatic; Ovarian cancer; See cases; Squamous cell carcinoma; Squamous cell carcinoma of the head and neck; Squamous cell lung carcinoma; Tyrosine kinase inhibitor response; erlotinib response - Efficacy; gefitinib response - Efficacy"
EGFR-AS1,NA
EIF4E,"Autism, susceptibility to, 19; EIF4E-related disorder"
ELF3,NA
ELF3-AS1,NA
ELOC,NA
EML4,EML4-related disorder
EMSY,EMSY-related disorder
ENOSF1,NA
EP300,"Abnormal facial shape; Atypical Rubinstein-Taybi; Autosomal dominant cerebellar ataxia; CHARGE syndrome; Carcinoma of colon; Colorectal cancer; Colorectal carcinoma; Corpus callosum, agenesis of; Developmental and epileptic encephalopathy, 18; EP300-related disorder; Epileptic encephalopathy; Facial grimacing; Feeding difficulties; Global developmental delay; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hirsutism; Hypotonia; Inborn genetic diseases; Intellectual disability; Menke-Hennekam syndrome 2; Microcephaly; Micrognathia; Moderate intellectual disability; Multicystic kidney dysplasia; Multiple congenital anomalies; Myopia; Neurodevelopmental abnormality; Neurodevelopmental delay; Neurodevelopmental disorder; Postaxial polydactyly; Primary microcephaly; Rare genetic intellectual disability; Rubinstein-Taybi syndrome; Rubinstein-Taybi syndrome due to CREBBP mutations; Rubinstein-Taybi syndrome due to EP300 haploinsufficiency; See cases; Short stature; Synophrys; Thumb deformity; intellectual deficiency"
EPAS1,"Asphyxiating thoracic dystrophy 3; EPAS1-related disorder; Erythrocytosis, familial, 3; Erythrocytosis, familial, 4; Inborn genetic diseases; Teratoma; sorafenib response - Toxicity"
EPCAM,Astrocytoma IDH-mutant; Carcinoma of colon; Colonic neoplasm; Congenital diarrhea 5 with tufting enteropathy; EPCAM-related disorder; Familial cancer of breast; Gastric cancer; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary nonpolyposis colorectal neoplasms; Lynch syndrome; Lynch syndrome 1; Lynch syndrome 8; Ovarian cancer
EPHA2,"Bilateral microphthalmos; Cataract; Cataract 6 multiple types; Cataract 6, age-related cortical; Congenital aniridia; Developmental cataract; EPHA2-related disorder; Inborn genetic diseases; Meniere disease; Structural eye disease"
EPHA5,Astrocytoma
EPHA7,EBV-positive nodal T- and NK-cell lymphoma; Intellectual disability
EPHB1,Autism
ERBB2,"Colorectal cancer; ERBB2 POLYMORPHISM; Endometrial carcinoma; Familial cancer of breast; Gastric cancer; Glioma susceptibility 1; Inborn genetic diseases; Lung adenocarcinoma; Lung cancer; Malignant tumor of urinary bladder; Myelodysplastic syndrome; Neuroepithelial tumor, PATZ1 fusion-positive; Non-small cell lung carcinoma; Ovarian cancer; Ovarian neoplasm; Prostate cancer; Visceral neuropathy, familial, 2, autosomal recessive"
ERBB3,"ERBB3-related disorder; Erythroleukemia, familial, susceptibility to; Lethal congenital contracture syndrome 1; Lethal congenital contracture syndrome 2; Malignant tumor of urinary bladder; Prostate cancer; Visceral neuropathy, familial; Visceral neuropathy, familial, 1, autosomal recessive"
ERBB4,Amyotrophic lateral sclerosis; Amyotrophic lateral sclerosis type 10; Amyotrophic lateral sclerosis type 19; ERBB4-associated epilepsy syndrome; ERBB4-related Non-syndromic intellectual disability or epilepsy; ERBB4-related disorder; Frontotemporal dementia; Inborn genetic diseases; Intellectual disability; NK-cell enteropathy; Schizophrenia; Teratoma
ERCC1,Cerebrooculofacioskeletal syndrome 4; Cholestatic liver disease; Cockayne syndrome; Cutaneous photosensitivity; ERCC1-related disorder; Failure to thrive; Global proximal tubulopathy; Premature ovarian insufficiency
ERCC2,"Cerebrooculofacioskeletal syndrome 1; Cerebrooculofacioskeletal syndrome 2; Corpus callosum, agenesis of; Craniopharyngioma; ERCC2-related disorder; Fetal anomalies with a likely genetic cause; Hepatoblastoma; Hereditary cancer-predisposing syndrome; Hypotrichosis simplex; Inborn genetic diseases; Inflammatory bowel disease 1; Ketotic hypoglycemia; Leukodystrophy; Malignant tumor of urinary bladder; Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified; Ovarian cancer; Trichothiodystrophy; Trichothiodystrophy 1, photosensitive; Xeroderma pigmentosum; Xeroderma pigmentosum, group C; Xeroderma pigmentosum, group D"
ERCC4,"Abnormality of blood and blood-forming tissues; Autosomal recessive cerebellar ataxia; Behavioral variant of frontotemporal dementia; Breast carcinoma; Carcinoma of pancreas; Cockayne syndrome; ERCC4-Related Disorders; ERCC4-related disorder; Fanconi anemia complementation group Q; Growth failure in early childhood; Hereditary cancer-predisposing syndrome; Hutchinson-Gilford syndrome; Inborn genetic diseases; Microcephaly; Ovarian cancer; Precursor B-cell acute lymphoblastic leukemia; Spastic ataxia; XFE progeroid syndrome; Xeroderma pigmentosum; Xeroderma pigmentosum, group F; Xeroderma pigmentosum, type F/Cockayne syndrome"
ERCC5,"Abnormal corpus callosum morphology; BIVM-ERCC5-related disorder; Cerebellar atrophy; Cerebrooculofacioskeletal syndrome 3; Cognitive impairment; Dysarthria; ERCC5-related disorder; Hepatoblastoma; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Ovarian cancer; Pectus excavatum; Pes cavus; Polyneuropathy; See cases; Spastic paraplegia; Xeroderma pigmentosum; Xeroderma pigmentosum group G/Cockayne syndrome; Xeroderma pigmentosum, group G; Xeroderma pigmentosum-Cockayne syndrome complex"
ERF,Chitayat syndrome; Common craniosynostosis syndromes; Craniosynostosis 4; Craniosynostosis syndrome; ERF-related disorder; Inborn genetic diseases; Lambdoidal craniosynostosis; Multiple congenital anomalies/dysmorphic syndrome; Multiple myeloma; Neonatal encephalopathy; Neurodevelopmental disorder; Noonan Syndrome-like developmental disorder; Noonan syndrome; Noonan-like syndrome; Paediatric disorders; See cases; TWIST1-related craniosynostosis
ERG,Acute lymphoid leukemia; Lymphatic malformation 14
ESR1,"Arthrogryposis multiplex congenita 3, myogenic type; Autosomal recessive ataxia, Beauce type; Cleft lip/palate; ESR1-related disorder; Emery-Dreifuss muscular dystrophy 4, autosomal dominant; Estrogen receptor mutant, temperature-sensitive; Estrogen resistance syndrome; Familial cancer of breast; Migraine with or without aura, susceptibility to; Migraine with or without aura, susceptibility to, 1; Myocardial infarction, susceptibility to; Rare genetic intellectual disability; Scoliosis, isolated, susceptibility to, 1"
ETFRF1,NA
ETV1,NA
ETV4,ETV4-related disorder
ETV5,ETV5-related disorder; Myoepithelial tumor
ETV6,"Abnormal bleeding; Acute lymphoid leukemia; Acute myeloid leukemia; EBV-positive nodal T- and NK-cell lymphoma; ETV6-related disorder; Hematologic neoplasm; Hereditary cancer-predisposing syndrome; Hermansky-Pudlak syndrome 1; Inborn genetic diseases; Malignant lymphoma, large B-cell, diffuse; See cases; Thrombocytopenia; Thrombocytopenia 5"
EWSR1,Amyotrophic lateral sclerosis; EWSR1-related disorder; Ewing sarcoma
EXOC6,NA
EZH1,EZH1-associated neurodevelopmental disorder; EZH1-neurodevelopmental syndrome; EZH1-related disorder
EZH2,Childhood neoplasm; EZH2-related disorder; Fetal anomaly; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Intellectual disability; Neurodevelopmental disorder; Weaver syndrome
EZR,EZR-related disorder
FAM175A,NA
FAM20A,Amelogenesis imperfecta type 1G; FAM20A-related disorder; Inborn genetic diseases
FAM58A,NA
FANCA,"Abnormality of blood and blood-forming tissues; Congenital portosystemic shunt; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; FANCA-related disorder; Fanconi anemia; Fanconi anemia complementation group A; Hepatoblastoma; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Malignant tumor of breast; Microcephaly; Monogenic short statue; Neuroblastoma; Neurodevelopmental abnormality; Ovarian cancer; Pediatric high-grade glioma; Pituitary stalk interruption syndrome; Premature ovarian failure; Prostate cancer; See cases"
FANCC,Carcinoma of colon; FANCC-related disorder; Familial ovarian cancer; Fanconi anemia; Fanconi anemia complementation group A; Fanconi anemia complementation group C; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Malignant tumor of breast; Ovarian cancer; Premature ovarian failure; X-linked central congenital hypothyroidism with late-onset testicular enlargement
FANCD2,Acute myeloid leukemia; Cleft palate; FANCD2-related disorder; FANCD2OS-related disorder; Familial cancer of breast; Fanconi anemia; Fanconi anemia complementation group A; Fanconi anemia complementation group D2; Fasting plasma glucose level quantitative trait locus 6; Global developmental delay; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Intellectual disability; Malignant tumor of breast; Monogenic short statue; Ovarian cancer; Pigmentary skin disorders; Pituitary stalk interruption syndrome; See cases
FANCD2OS,NA
FANCE,Carcinoma of colon; Carcinoma of pancreas; Exstrophy-epispadias complex; FANCE-related disorder; Fanconi anemia; Fanconi anemia complementation group E; Hereditary breast ovarian cancer syndrome; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Malignant tumor of breast; Microcephaly; Monogenic short stature; Ovarian cancer; See cases
FANCG,Abnormality of blood and blood-forming tissues; Carcinoma of pancreas; FANCG-related disorder; Fanconi anemia; Fanconi anemia complementation group A; Fanconi anemia complementation group G; Inborn genetic diseases; Monogenic short statue; Ovarian cancer; Pituitary stalk interruption syndrome
FANCI,Colorectal cancer; FANCI-related disorder; Fanconi anemia; Fanconi anemia complementation group A; Fanconi anemia complementation group I; Gastric cancer; Hereditary cancer-predisposing syndrome; Immunodeficiency 62; Inborn genetic diseases; Malignant tumor of breast; Microcephaly
FANCL,"FANCL-related disorder; Fanconi anemia; Fanconi anemia complementation group A; Fanconi anemia complementation group L; Hereditary cancer; Inborn genetic diseases; Premature ovarian insufficiency; See cases; VACTERL association, X-linked, with or without hydrocephalus; VATER association"
FAS,"Autoimmune lymphoproliferative syndrome; Autoimmune lymphoproliferative syndrome type 1; Autoimmune lymphoproliferative syndrome with defective apoptosis; FAS-related autoimmune lymphoproliferative syndrome; FAS-related disorder; Hepatoblastoma; Inborn genetic diseases; Inherited Immunodeficiency Diseases; SQUAMOUS CELL CARCINOMA, BURN SCAR-RELATED, SOMATIC; See cases; Splenomegaly"
FAT1,"Anophthalmia-microphthalmia syndrome; Attention deficit hyperactivity disorder; Autosomal dominant cerebellar ataxia; Congenital myasthenic syndrome 12; Delayed speech and language development; FAT1-related disorder; Familial idiopathic steroid-resistant nephrotic syndrome; Finnish congenital nephrotic syndrome; Flexion contracture; Focal and Segmental Glomerulosclerosis, Autosomal recessive; Focal segmental glomerulosclerosis; Glomerulotubular Nephropathy; Hypertensive disorder; Inborn genetic diseases; Irido-corneo-trabecular dysgenesis; Moderate intellectual disability; Multiple myeloma; Nephrotic syndrome; Spasticity; Syndromic disease; Syndromic microphthalmia"
FBXO11,Delayed speech and language development; Developmental disorder; FBXO11-related disorder; Inborn genetic diseases; Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities; Intellectual disability; Marfanoid habitus and intellectual disability; Neurodevelopmental disorder; Obesity; See cases
FFAR1,"Hypercholesterolemia, familial, 1"
FGF1,NA
FGF12,"Developmental and epileptic encephalopathy, 47; Early onset epileptic encephalopathy; FGF12-related disorder; Gestational diabetes mellitus uncontrolled; Inborn genetic diseases; Seizure"
FGF14,"Cerebellar ataxia; FGF14-related disorder; Inborn genetic diseases; Spinocerebellar ataxia 27A; Spinocerebellar ataxia 27B, late-onset; Spinocerebellar ataxia type 27"
FGF23,"Autosomal dominant hypophosphatemic rickets; FGF23-related disorder; Familial hyperphosphatemic tumoral calcinosis/hyperphosphatemic hyperostosis syndrome; Hypophosphatemic rickets; Inborn genetic diseases; See cases; Short stature; Tumoral calcinosis, hyperphosphatemic, familial, 1; Tumoral calcinosis, hyperphosphatemic, familial, 2"
FGF5,FGF5-related disorder; Trichomegaly
FGF6,NA
FGF9,FGF9-related disorder; Inborn genetic diseases; Multiple synostoses syndrome 3
FGFR1,"Amenorrhea; Astrocytoma; Autosomal recessive FGFR1-related disorders; Cerebellar vermis hypoplasia; Congenital cerebellar hypoplasia; Craniosynostosis syndrome; Craniosynostosis, nonspecific; Delayed puberty; Differences in sex development; Encephalocraniocutaneous lipomatosis; FGFR1-related craniosynostosis syndrome; FGFR1-related disorder; Hartsfield-Bixler-Demyer syndrome; Holoprosencephaly sequence; Hypogonadism with anosmia; Hypogonadotropic hypogonadism; Hypogonadotropic hypogonadism 2 with anosmia; Hypogonadotropic hypogonadism 2 with or without anosmia; Hypogonadotropic hypogonadism 7 with or without anosmia; Inborn genetic diseases; Infertility disorder; Jackson-Weiss syndrome; Lobar holoprosencephaly; Martsolf syndrome 1; Mendelian syndromes with cleft lip/palate; Microform holoprosencephaly; Multiple epiphyseal dysplasia; Orofacial cleft 1; Osteoglophonic dysplasia; Pfeiffer syndrome; Pfeiffer syndrome type 1; Pilomyxoid astrocytoma; Rosette-forming glioneuronal tumor; See cases; Semilobar holoprosencephaly; Trigonocephaly 1; spinal cord mass"
FGFR2,".; Abnormal pinna morphology; Abnormal posterior cranial fossa morphology; Abnormal zygomatic bone morphology; Acrocephalosyndactyly type I; Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis; Aural atresia, congenital; Autosomal dominant syndrome including deafness; Beare-Stevenson cutis gyrata syndrome; Bent bone dysplasia syndrome 1; Bilateral sensorineural hearing impairment; Brachyturricephaly; CRANIOFACIAL-SKELETAL-DERMATOLOGIC DYSPLASIA; CRANIOSYNOSTOSIS, NONCLASSIFIABLE AUTOSOMAL DOMINANT; CRANIOSYNOSTOSIS, NONSYNDROMIC UNICORONAL; Choanal stenosis; Colorectal cancer; Common craniosynostosis syndromes; Cranial asymmetry; Craniosynostosis syndrome; Craniosynostosis, nonspecific; Crouzon syndrome; Deviated nasal septum; Disorder of sexual differentiation; Downslanted palpebral fissures; Ectrodactyly; Endometrial carcinoma; FGFR2-realated disorder; FGFR2-related craniosynostosis; FGFR2-related disorder; FGFR2-related syndromic and non-syndromic craniosynostoses; Facial asymmetry; Familial scaphocephaly syndrome, McGillivray type; Flat occiput; Gastric cancer; High forehead; High palate; Hydrocephalus; Hypertelorism; Hypointensity of cerebral white matter on MRI; Inborn genetic diseases; Intellectual disability; Isolated Coronal Synostosis; Jackson-Weiss syndrome; LADD syndrome 1; Lateral ventricle dilatation; Levy-Hollister syndrome; Low-set ears; Meier-Gorlin syndrome 1; Mild fetal ventriculomegaly; Narrow forehead; Neoplasm of stomach; Pemigatinib resistance; Pfeiffer syndrome; Pfeiffer syndrome type 3; SCAPHOCEPHALY AND AXENFELD-RIEGER ANOMALY; Saethre-Chotzen syndrome; See cases; Seizure; Shallow orbits; Short neck; Squamous cell lung carcinoma; Variant of unknown significance; Wide anterior fontanel"
FGFR4,Cancer progression and tumor cell motility; Classic Hodgkin lymphoma; FGFR4-related disorder; See cases
FLCN,17p11.2 microduplication syndrome; Birt-Hogg-Dube syndrome; Birt-Hogg-Dube syndrome 1; Carcinoma of colon; Chromophobe renal cell carcinoma; Colorectal cancer; Exstrophy-epispadias complex; FLCN-related disorder; Familial spontaneous pneumothorax; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer-predisposing syndrome; Hereditary renal cancer; Hypoparathyroidism; Inherited renal cancer; Multiple monogenic benign skin tumours; Nonpapillary renal cell carcinoma; Ovarian cancer; Pilocytic astrocytoma; Pneumothorax - familial; Pulmonary arterial hypertension; See cases
FLT1,Carcinoma of colon; FLT1-related disorder; Lung adenocarcinoma; Squamous cell carcinoma
FLT3,Acute lymphoid leukemia; Acute myeloid leukemia; FLT3-related disorder; Multiple myeloma; Myelodysplastic syndrome progressed to acute myeloid leukemia
FLT4,"Blepharospasm-oromandibular dystonia syndrome; Capillary infantile hemangioma; Carcinoma of colon; Colorectal cancer; Congenital heart defects, multiple types, 7; FLT4-related disorder; FLT4-related disorders; Fetal anomalies with a likely genetic cause; Hereditary lymphedema type I; Inborn genetic diseases; Lymphedema; Non-immune hydrops fetalis; Regorafenib response; Teratoma"
